"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"46","8.379152751432741","161.37338636957105","0.081298828125","0.16259765625","0","2200","0.008134750496590498","32","0.008134750496590498","0","0.008134750496590498","0.008134750496590498","45:0.06856524827066582;47:0.03114747545139865","45:68;47:68","45:0.08629765954726837;47:0.03159722423090028","0.081298828125","0.023193359375","Yes"
"47","253.62406161501517","277.5159019173565","0.002685546875","0.00537109375","0","2200","0.0001442133399629678","32","0.0001442133399629678","0","0.0001442133399629678","0.0001442133399629678","48:0.0013308338991219748;57:0.000988231115584548;46:0.03114747545139865","48:68;57:68;46:68","48:0.0017008583252429432;57:0.0013506802861576739;46:0.03159722423090028","0.002685546875","0.00341796875","Yes"
"48","279.6471218683004","278.97838737613523","0.002197265625","0.0029296875","0.00146484375","2200","0.00008409580862529732","32","0.00008409580862529732","0","0.00008409580862529732","0.00008409580862529732","47:0.0013308338991219748;49:0.0013611269264509895","47:68;49:68","47:0.0017008583252429432;49:0.0025990889692365515","0.002197265625","0.000732421875","Yes"
"49","305.4795235741664","236.48902532146025","0.003662109375","0.00634765625","0.0009765625","2200","0.00022381957882193485","32","0.00022381957882193485","0","0.00022381957882193485","0.00022381957882193485","48:0.0013611269264509895;50:0.002917414635838639;38:0.0013277578211310648","48:68;50:68;38:68","48:0.0025990889692365515;50:0.0010718817653249113;38:0.0009679222475628413","0.003662109375","0.004638671875","Yes"
"50","149.84032209523696","167.92817877550263","0.003173828125","0.00537109375","0.0009765625","2200","0.00018539065480612473","32","0.00018539065480612473","0","0.00018539065480612473","0.00018539065480612473","49:0.002917414635838639;51:0.0011903352959843627","49:68;51:68","49:0.0010718817653249113;51:0.001392406133893409","0.003173828125","0.00146484375","Yes"
"51","324.01714088273593","241.55340980163226","0.00341796875","0.005859375","0.0009765625","2200","0.0001438410461934554","32","0.0001438410461934554","0","0.0001438410461934554","0.0001438410461934554","50:0.0011903352959843627;52:0.0009241928565349999;58:0.0009390895889715978","50:68;52:68;58:68","50:0.001392406133893409;52:0.001416237499108297;58:0.0011654744893262181","0.00341796875","0.002197265625","Yes"
"52","258.71310201699805","305.88624951882906","0.005126953125","0.00634765625","0.00390625","2200","0.00014195175521485026","32","0.00014195175521485026","0","0.00014195175521485026","0.00014195175521485026","51:0.0009241928565349999;53:0.0011356375619674952","51:68;53:68","51:0.001416237499108297;53:0.0015540008758781754","0.005126953125","0.003662109375","Yes"
"53","273.06177022627617","360.5144795200723","0.018798828125","0.017578125","0.02001953125","2200","0.000218524391057776","32","0.000218524391057776","0","0.000218524391057776","0.000218524391057776","39:0.000691222585654655;52:0.0011356375619674952;54:0.0011474630650570028","39:68;52:68;54:88","39:0.0011003007355964711;52:0.0015540008758781754;54:0.0008882699706012631","0.018798828125","0.009765625","Yes"
"54","273.4659620461452","376.5572558044564","0.00341796875","0.00244140625","0.00439453125","2200","0.00013873338029468644","32","0.00013873338029468644","0","0.00013873338029468644","0.00013873338029468644","53:0.0011474630650570028;55:0.000860924028313087","53:88;55:68","53:0.0008882699706012631;55:0.0011386597858602243","0.00341796875","0.005859375","Yes"
"55","342.4784206521727","500.71008757927035","0.005126953125","0.00634765625","0.00390625","2200","0.00011960950968745122","32","0.00011960950968745122","0","0.00011960950968745122","0.00011960950968745122","59:0.0014535773981744493;54:0.000860924028313087","59:68;54:68","59:0.0014887865170982728;54:0.0011386597858602243","0.005126953125","0.003173828125","Yes"
